"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: <E>-Modif, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Det =: du, Vsup =: perdre";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"55";"-";"+";"-";"chatoiement";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"56";"+";"-";"-";"cheveu";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"57";"-";"+";"-";"chromatisme";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"58";"+";"-";"-";"citoyenneté";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"59";"+";"+";"+";"classe";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"60";"-";"+";"+";"clinquant";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"61";"-";"+";"-";"coefficient";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"62";"-";"+";"+";"connotation";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"63";"+";"-";"-";"contenance";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"64";"-";"+";"-";"contenance";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"65";"-";"+";"-";"contraction";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"66";"+";"-";"-";"corps";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"67";"-";"+";"-";"corps";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"68";"+";"+";"+";"côté";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"69";"-";"+";"-";"couleur";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"70";"-";"+";"-";"cours";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"71";"+";"-";"-";"dandinement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"72";"+";"+";"+";"dandysme";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"73";"+";"-";"-";"débit";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"74";"-";"+";"-";"débit";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"75";"+";"+";"-";"décharnement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"76";"-";"+";"-";"décor";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"~";"~";"~"
"77";"-";"+";"-";"décoration";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"78";"+";"+";"+";"défaut";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"~";"~";"~"
"79";"-";"+";"-";"déformation";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"80";"+";"-";"-";"déformation professionnelle";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"81";"+";"-";"-";"dégaine";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"82";"+";"-";"+";"démesure";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"Les décisions de Max ont une certaine démesure";"~";"~"
"83";"+";"-";"+";"dépravation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"Max a une certaine dépravation ";"~";"~"
"84";"+";"-";"-";"déséquilibre";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"85";"+";"+";"+";"devant de la scène";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"86";"+";"-";"+";"déviance";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"87";"+";"-";"-";"diction";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"88";"-";"+";"+";"dimension";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"Cette affaire (a+prend) (une dimension démesurée+des dimensions démesurées)";"Cette affaire est d'une dimension démesurée";"~"
"89";"-";"+";"-";"dimension";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"90";"+";"-";"+";"discernement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"91";"+";"-";"-";"dissipation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"92";"+";"-";"+";"éclat";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"93";"+";"-";"-";"écriture";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"94";"-";"+";"-";"écriture";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"95";"+";"+";"-";"élan";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"Max ((a+perd) de l'élan+prend son élan)";"~";"~"
"96";"+";"-";"-";"élocution";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"97";"+";"+";"-";"émaciation";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"98";"+";"-";"-";"embonpoint";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"Max a de l'embonpoint";"~";"~"
"99";"+";"+";"+";"embourgeoisement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"100";"+";"+";"+";"encroûtement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"101";"-";"+";"+";"enflure";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"102";"+";"-";"+";"enjouement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"103";"-";"+";"-";"enneigement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"104";"-";"+";"+";"entrain";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"Max a de l'entrain à danser";"~";"~"
"105";"+";"-";"-";"entregent";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~"
"106";"-";"+";"-";"entropie";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"107";"+";"-";"+";"envergure";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Max a eu l'envergure";"~";"~"
"108";"-";"+";"-";"envergure";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"Ce projet a de l'envergure";"~";"~"
"109";"+";"-";"-";"équilibre";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"Léa a un certain équilibre";"~";"~"
"110";"+";"-";"+";"esprit";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"Max a de l'esprit";"Cette conduite est d'un certain esprit";"~"
"111";"+";"-";"-";"estomac";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"112";"+";"+";"-";"expression";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"Max a une expression (*E+amusée)";"~";"~"
"113";"+";"-";"-";"faconde";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"114";"-";"+";"-";"faune";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"115";"-";"+";"-";"feuille";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"116";"-";"+";"-";"flamboiement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"117";"-";"+";"-";"flore";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"118";"-";"+";"+";"force";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"119";"+";"-";"+";"forfanterie";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"120";"-";"+";"-";"format";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"121";"-";"+";"-";"forme";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"(Les sourcils ont (la+une) forme de virgules
+Cet objet a une forme arrondie)";"~";"~"
"122";"+";"-";"-";"forme";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Marie (a+prend+perd) des formes (E+épanouies)";"~";"~"
"123";"+";"+";"-";"fossette";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"124";"+";"-";"-";"foulée";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"~";"~";"~"
"125";"+";"+";"-";"frappe";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"126";"+";"-";"-";"frappe";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"127";"-";"-";"+";"furia";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"128";"+";"+";"-";"galbe";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"129";"+";"+";"-";"gigotement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"130";"+";"-";"-";"goût";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"131";"-";"+";"-";"goût";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"132";"-";"+";"-";"grincement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"133";"+";"-";"-";"habitude";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"134";"+";"+";"-";"hâle";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"135";"+";"+";"-";"handicap";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"~";"~";"~"
"136";"+";"+";"-";"hébétude";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"137";"-";"+";"+";"inanité";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"138";"+";"+";"+";"individualité";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"~";"~";"~"
"139";"+";"+";"+";"inertie";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"140";"+";"-";"+";"infatuation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"141";"+";"+";"-";"inflexion";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"142";"+";"-";"-";"initiative";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"143";"+";"-";"+";"jactance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"144";"-";"+";"-";"jaillissement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"145";"+";"-";"+";"jargon";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"146";"-";"+";"-";"jeu";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~";"~"
"147";"+";"-";"-";"jeu de jambes";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"148";"+";"-";"-";"jugement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"149";"+";"-";"+";"langage";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"150";"+";"-";"+";"langueur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"151";"+";"+";"-";"larmoiement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"152";"+";"-";"+";"libertinage";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"153";"+";"+";"-";"loucherie";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"154";"-";"+";"-";"luisance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"155";"-";"+";"+";"lustre";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
