"<ID>";"<ENT>N";"Det =: un";"Det =: un-certain";"Det =: des";"Det =: un-de Dnum Nmes";"N1 et N0 être N";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8";"Exemple Autre9"
"20";"apellation";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"(Ce nom est une appellation d'origine+Ce vin est une appellation contrôlée)";"~";"~"
"21";"apogée";"+";"-";"-";"-";"-";"Ce règne a eu une apogée";"~";"~";"~";"~";"~";"~";"~";"~"
"22";"apôtre";"+";"+";"+";"-";"-";"Cette théorie a des apôtres";"~";"~";"~";"~";"~";"Max (est+se fait) l'apôtre de cette doctrine";"~";"Pierre était (l'apôtre+un apôtre) du Christ"
"23";"après";"+";"-";"-";"-";"-";"La vie comporte un après";"~";"~";"~";"~";"~";"~";"~";"~"
"24";"arcanes";"-";"-";"+";"-";"-";"~";"~";"La politique a des arcanes insondables";"~";"~";"~";"~";"~";"~"
"25";"archéologie";"+";"+";"-";"-";"-";"(Paris+La science) a une archéologie";"~";"~";"~";"~";"~";"~";"~";"~"
"26";"archétype";"+";"+";"+";"-";"-";"Le bourgeois a un archétype";"~";"~";"~";"~";"~";"~";"~";"~"
"27";"architecte";"+";"+";"+";"-";"-";"La Révolution a eu un architecte";"~";"~";"~";"~";"~";"~";"~";"~"
"28";"argument";"+";"+";"-";"-";"-";"~";"~";"Ce verbe a deux arguments";"~";"~";"~";"~";"~";"~"
"29";"artisan";"+";"+";"+";"-";"-";"(La victoire a un artisan+Les nationalisations ont un artisan)";"~";"~";"~";"~";"~";"~";"~";"~"
"30";"ascendant";"+";"+";"+";"-";"-";"Ce signe a un ascendant";"~";"~";"~";"~";"~";"~";"~";"~"
"31";"assiette";"+";"+";"-";"-";"-";"L'impôt a une assiette";"~";"~";"~";"~";"~";"~";"~";"~"
"32";"assise";"-";"+";"-";"-";"-";"Cette maison a (une bonne assise+des assises solides)";"~";"~";"~";"~";"~";"~";"~";"~"
"33";"attribut";"+";"+";"+";"-";"-";"Le président a un attribut";"~";"~";"~";"~";"~";"Le sceptre est l'attribut de la royauté";"~";"~"
"34";"audience";"-";"+";"-";"+";"-";"(Cette émission+Ce livre) a eu une grande audience chez les lecteurs";"~";"~";"~";"~";"~";"(Cette émission+Ce livre) est d'une grande audience chez les lecteurs";"~";"~"
"35";"audimat";"-";"+";"-";"+";"-";"~";"Cette émission a un certain audimat";"~";"~";"~";"~";"~";"~";"~"
"36";"auteur";"+";"+";"+";"-";"-";"Ce crime a un auteur";"~";"~";"~";"~";"~";"~";"~";"~"
"37";"avenir";"+";"+";"-";"+";"-";"Toute chose a un avenir";"~";"~";"~";"~";"~";"~";"Il y a un avenir à toute chose";"~"
"38";"avocat";"+";"+";"+";"-";"-";"Cette cause a un avocat";"~";"~";"~";"~";"~";"~";"~";"~"
"39";"axiomatique";"+";"+";"+";"-";"-";"Cette science a une axiomatique";"~";"~";"~";"~";"~";"~";"~";"~"
"40";"B.A.ba";"+";"-";"-";"-";"-";"Cette discipline a un B.A.ba";"~";"~";"~";"~";"~";"~";"~";"~"
"41";"barème";"+";"+";"+";"-";"-";"Les mots ont un certain barème";"~";"~";"~";"~";"~";"~";"~";"~"
"42";"barycentre";"+";"+";"-";"-";"-";"Ce corps a un barycentre";"~";"~";"~";"~";"~";"~";"~";"~"
"43";"bastion";"+";"+";"+";"-";"-";"Le catholicisme a un bastion";"~";"~";"~";"~";"~";"~";"~";"~"
"44";"bénéficiaire";"+";"+";"+";"-";"-";"Cette opération a un bénéficiaire";"~";"~";"~";"~";"~";"Max est le bénéficiaire de cette opération";"~";"GN=:[Le bénéficiaire de cette opération]"
"45";"bibliographie";"+";"+";"-";"-";"-";"Ce sujet a une bibliographie";"~";"~";"~";"~";"~";"~";"Il y a une bibliographie sur ce sujet";"~"
"46";"bicentenaire";"+";"-";"-";"-";"-";"Cet événement a un bicentenaire";"~";"~";"~";"~";"~";"~";"~";"~"
"47";"biogénèse";"+";"+";"-";"-";"-";"Cet être humain a une biogénèse";"~";"~";"~";"~";"~";"~";"~";"~"
"48";"bipartition";"+";"+";"-";"-";"-";"Ce pays a une bipartition";"~";"~";"~";"~";"~";"~";"Il y a eu bipartition dans ce pays";"~"
"49";"budget";"+";"+";"+";"+";"-";"L'Etat a un budget";"~";"~";"~";"~";"~";"~";"~";"~"
"50";"canon";"+";"+";"+";"-";"-";"La beauté a un canon";"~";"~";"~";"~";"~";"~";"~";"~"
"51";"caprices";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"52";"carré";"+";"+";"-";"-";"-";"Ce nombre a un carré";"~";"~";"~";"~";"~";"~";"~";"~"
"53";"centenaire";"+";"-";"-";"-";"-";"Cette événement a un centenaire";"~";"~";"~";"~";"~";"~";"~";"~"
"54";"champ";"+";"+";"+";"+";"-";"La caméra a un champ réduit";"~";"~";"~";"~";"~";"Ce lit est un champ de bataille";"~";"GN=:[un champ de bataille]"
"55";"chimie";"+";"+";"-";"-";"-";"Le corps humain a une chimie";"~";"~";"~";"~";"~";"~";"~";"~"
"56";"chorégraphie";"+";"+";"+";"-";"-";"Cette musique a une chorégraphie";"~";"~";"~";"~";"~";"~";"~";"~"
"57";"combustion";"-";"+";"-";"-";"-";"Ce corps a une combustion (*E+lente)";"~";"~";"~";"~";"~";"~";"~";"~"
"58";"complémentaire";"+";"+";"-";"-";"+";"Ce nombre a un complémentaire";"~";"~";"~";"~";"~";"~";"~";"~"
"59";"contraire";"+";"+";"-";"-";"+";"Ce mot a un contraire";"~";"~";"~";"~";"~";"Ceci est le contraire de cela";"~";"~"
"60";"coordonnées";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"61";"corrélât";"+";"+";"+";"-";"-";"Ce théorème a trois corrélât";"~";"~";"~";"~";"~";"~";"Il y a trois corrélâtes à ce théorème";"~"
"62";"cosinus";"+";"-";"-";"+";"-";"Cet ensemble a un cosinus";"~";"~";"~";"~";"~";"~";"~";"~"
"63";"cotangente";"+";"-";"-";"-";"-";"Cet angle a une cotangente";"~";"~";"~";"~";"~";"~";"~";"~"
"64";"courbe";"+";"+";"-";"+";"-";"Les naissances (font+suivent+ont+forment) une courbe asymptotique";"~";"~";"~";"~";"~";"La parabole est une courbe";"~";"~"
"65";"cours";"-";"+";"-";"-";"-";"(L'action de ce roman a un cours (*E+endiablé)+La journée a un cours (*E+un peu lent)";"~";"~";"~";"~";"~";"~";"~";"~"
"66";"cristallisation";"-";"+";"-";"-";"-";"Ce corps a une cristallisation (*E+rapide)";"~";"~";"~";"~";"~";"~";"~";"~"
"67";"critère";"+";"+";"+";"-";"-";"La justice a un critère";"~";"~";"~";"~";"~";"La culture est un critère";"~";"~"
"68";"croissance";"-";"+";"-";"+";"-";"~";"L'économie a une certaine croissance ";"~";"~";"~";"~";"~";"~";"~"
"69";"crue";"+";"+";"+";"+";"-";"~";"~";"La Loire (a+connaît) des crues redoutables";"~";"~";"~";"~";"~";"~"
"70";"cuisson";"-";"+";"-";"-";"-";"Cette viande a une cuisson (*E+lente)";"~";"~";"~";"~";"~";"~";"~";"~"
"71";"cycle";"+";"+";"+";"+";"-";"~";"~";"La lune a des cycles";"~";"~";"~";"~";"~";"~"
"72";"déclinaison";"-";"+";"-";"+";"-";"~";"~";"~";"Cet astre a un déclinaison de 30 degrés";"~";"~";"~";"~";"~"
"73";"décor";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"74";"décrue";"+";"+";"+";"-";"-";"Les eaux ont une décrue (E+très lent)";"~";"~";"Les eaux ont une décrue de 1m par heure";"~";"~";"~";"~";"~"
"75";"dénomination";"-";"+";"+";"-";"-";"Ce produit a une dénomination attractive";"~";"~";"~";"~";"~";"~";"~";"~"
"76";"dénotation";"+";"+";"+";"-";"-";"~";"Ce mot a une certaine dénotation en français";"~";"~";"~";"~";"~";"~";"~"
"77";"densité";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"78";"dérive";"+";"+";"+";"-";"-";"~";"Cette politique a une certaine dérive";"~";"~";"~";"~";"~";"~";"~"
"79";"dérive";"-";"+";"-";"+";"-";"Ce bateau a une dérive";"~";"~";"Le bateau a une dérive (importante+de n degrés)";"~";"~";"~";"~";"~"
"80";"dérivé";"-";"+";"+";"-";"-";"~";"~";"Cet acide a des dérivés";"~";"~";"~";"~";"~";"~"
"81";"dérivée";"+";"+";"+";"-";"-";"Cette fonction a une dérivée";"~";"~";"~";"~";"~";"~";"~";"~"
"82";"destinataire";"+";"+";"+";"-";"-";"Cette lettre a un destinataire inconnu";"~";"~";"~";"~";"~";"~";"~";"~"
"83";"destination";"+";"+";"+";"-";"-";"Cet objet a une destination bien précise";"~";"~";"~";"~";"~";"~";"~";"~"
"84";"devenir";"-";"+";"-";"-";"-";"Toute chose a un devenir";"~";"~";"~";"~";"~";"~";"~";"~"
"85";"didactique";"+";"+";"-";"-";"-";"Cette discipline a une didactique";"~";"~";"~";"~";"~";"~";"~";"~"
"86";"dimorphisme";"+";"+";"-";"-";"-";"~";"Cette plante a un certain dimorphisme";"~";"~";"~";"~";"~";"~";"~"
"87";"direction";"+";"+";"+";"-";"-";"~";"(Ce train+Cette politique) a une certaine direction";"~";"~";"~";"~";"~";"~";"~"
"88";"discographie";"+";"+";"-";"-";"-";"Bach a une discographie abondante";"~";"~";"~";"~";"~";"~";"~";"~"
"89";"distribution";"+";"+";"+";"-";"-";"Cette pièce a une bonne distribution";"Ce nom a une certaine distribution dans la langue";"~";"~";"~";"~";"~";"~";"~"
"90";"doublet";"+";"+";"+";"-";"-";"hôtel a un doublet";"~";"~";"~";"hôtel et hôpital sont des doublets";"~";"hôtel est le doublet de hôpital";"~";"~"
"91";"ébullition";"-";"+";"-";"-";"-";"L'eau a une ébullition (*E+à 100 degrés)";"~";"~";"L'eau a une ébullition à 100 degrés";"~";"~";"~";"~";"~"
"92";"échelle";"+";"+";"+";"+";"-";"Cette carte a une échelle de tant";"~";"~";"~";"~";"~";"~";"~";"~"
"93";"écho";"+";"+";"+";"-";"-";"La voix de Max a un écho";"~";"~";"~";"~";"~";"~";"~";"~"
"94";"économie";"+";"+";"-";"-";"-";"(Cette oeuvre+Le corps humain) a une économie complexe";"~";"~";"~";"~";"~";"~";"~";"~"
"95";"effet";"+";"+";"+";"-";"-";"Toute chose a un effet";"~";"~";"~";"~";"~";"~";"~";"~"
"96";"effet";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"97";"effluves";"-";"-";"+";"-";"-";"Ce parfum (a+dégage) des effluves puissantes";"~";"~";"~";"~";"~";"~";"~";"~"
"98";"emblème";"+";"+";"+";"-";"-";"La royauté a un emblème";"~";"~";"~";"~";"~";"Le spectre est l'emblème de la royauté";"~";"~"
"99";"emplacement";"+";"+";"+";"-";"-";"Ce stand a un emplacement";"Cette maison a un certain emplacement";"~";"~";"~";"~";"~";"~";"~"
"100";"enroulement";"-";"+";"-";"-";"-";"Ce câble a un bon enroulement";"~";"~";"~";"~";"~";"~";"~";"~"
"101";"entours";"-";"-";"+";"-";"-";"La ferme a des entours boisés";"~";"~";"~";"~";"~";"~";"~";"~"
"102";"environnement";"-";"+";"-";"-";"-";"Ce village a un environnement de forêts";"~";"~";"~";"~";"~";"~";"~";"~"
"103";"environs";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"104";"équivalent";"+";"+";"+";"-";"+";"Ce mot a un équivalent en français";"~";"~";"~";"~";"~";"~";"~";"~"
"105";"essence";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"106";"essor";"-";"+";"-";"-";"-";"La région (a+connaît) un essor rapide";"~";"~";"~";"~";"~";"~";"~";"~"
"107";"état";"-";"+";"-";"-";"-";"(Max+Cette maison) (a+présente) un état déplorable";"~";"~";"~";"~";"~";"~";"~";"~"
"108";"étendard";"+";"+";"-";"-";"-";"(Max+Cette cause) a un étendard";"~";"~";"~";"~";"~";"~";"~";"~"
"109";"étiage";"+";"+";"-";"-";"-";"Ce fleuve a un étiage annuel";"~";"~";"~";"~";"~";"~";"~";"~"
"110";"étoile";"+";"-";"+";"-";"-";"~";"~";"~";"Cet hôtel a 4 étoiles";"~";"~";"~";"~";"~"
"111";"étymologie";"+";"+";"+";"-";"-";"Ce mot a une étymologie";"~";"~";"~";"~";"~";"~";"~";"~"
"112";"étymon";"+";"+";"-";"-";"-";"'Pied'' a un étymon";"~";"~";"~";"~";"~";"~";"~";"~"
"113";"exemple";"+";"+";"-";"-";"-";"Cette rigueur a un exemple";"~";"~";"~";"~";"~";"~";"~";"~"
"114";"existence";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"115";"exposition";"-";"+";"+";"-";"-";"La maison a une exposition au Sud";"~";"~";"~";"~";"~";"~";"~";"~"
"116";"extension";"+";"+";"-";"-";"-";"Ce mot a une extension";"~";"~";"~";"~";"~";"~";"~";"~"
"117";"fan";"+";"+";"+";"-";"-";"(Cette voiture+Max) a un fan";"~";"~";"~";"~";"~";"Pierre est un fan de Max";"~";"~"
"118";"fervent";"+";"+";"+";"-";"-";"Ce sport a un fervent";"~";"~";"~";"~";"~";"~";"~";"~"
"119";"fleuron";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"120";"fonction";"+";"+";"+";"-";"-";"Ce nom a une fonction";"~";"~";"~";"~";"~";"~";"~";"~"
"121";"formule";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"122";"fortune";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"123";"foyer";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"124";"fusion";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"125";"garant";"+";"+";"+";"-";"-";"Ce traité a un garant";"~";"~";"~";"~";"~";"~";"~";"~"
"126";"genèse";"+";"+";"-";"+";"-";"Ce livre a une genèse";"~";"~";"~";"~";"~";"~";"~";"~"
"127";"génotype";"+";"+";"+";"-";"-";"Max a un génotype";"~";"~";"~";"~";"~";"~";"~";"~"
"128";"géographie";"+";"+";"-";"-";"-";"Ce pays a une géographie (*E+variée)";"~";"~";"~";"~";"~";"~";"~";"~"
"129";"géologie";"-";"+";"-";"-";"-";"Ce sol a une géologie (E+complexe)";"~";"~";"~";"~";"~";"~";"~";"~"
"130";"géomorphologie";"+";"+";"-";"-";"-";"Cette région a une géomorphologie (*E+complexe)";"~";"~";"~";"~";"~";"~";"~";"~"
"131";"géopolitique";"-";"+";"-";"-";"-";"Cette région a une géopolitique (*E+complexe)";"~";"~";"~";"~";"~";"~";"~";"~"
"132";"géothermie";"-";"+";"-";"-";"-";"La planète a une géothermie (E+précise)";"~";"~";"~";"~";"~";"~";"~";"~"
"133";"germination";"+";"+";"-";"+";"-";"Cette plante a une germination (*E+rapide)";"~";"~";"~";"~";"~";"~";"~";"~"
"134";"gestation";"+";"+";"-";"+";"-";"~";"~";"~";"La jument a une gestation (*E+de 11 mois)";"~";"~";"~";"~";"~"
"135";"giration";"+";"+";"-";"-";"-";"Le ciel a une certaine giration";"~";"~";"~";"~";"~";"~";"~";"~"
"136";"grammaire";"+";"+";"-";"-";"-";"Cette langue a une grammaire";"~";"~";"~";"~";"~";"~";"~";"~"
"137";"graphie";"-";"+";"-";"-";"-";"~";"Ce mot a une certaine graphie";"~";"~";"~";"~";"~";"~";"~"
"138";"habitant";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"139";"heuristique";"+";"+";"-";"-";"-";"Cette discipline a une heuristique";"~";"~";"~";"~";"~";"~";"~";"~"
"140";"histogénèse";"+";"+";"-";"-";"-";"L'embryon a une histogénèse";"~";"~";"~";"~";"~";"~";"~";"~"
"141";"histoire";"+";"+";"-";"-";"-";"(Ce pays+Cette langue) a une histoire";"~";"~";"~";"~";"~";"~";"~";"~"
"142";"historique";"+";"+";"-";"-";"-";"Cette affaire a une historique";"~";"~";"~";"~";"~";"~";"~";"~"
"143";"homographe";"+";"+";"+";"-";"+";"Ce mot a un homographe";"~";"~";"~";"~";"~";"~";"~";"~"
"144";"homologue";"+";"+";"+";"-";"+";"(Cet organe+Ce professeur) a un homologue";"~";"~";"~";"~";"~";"~";"~";"~"
"145";"homonyme";"+";"+";"+";"-";"+";"Ce mot a un homonyme";"~";"~";"~";"~";"~";"~";"~";"~"
"146";"homophone";"+";"+";"+";"-";"+";"Ce mot a un homophone";"~";"~";"~";"~";"~";"~";"~";"~"
"147";"horaire";"+";"+";"+";"-";"-";"(Max+Le train+Cette tâche) a un horaire";"~";"~";"~";"~";"~";"~";"~";"~"
"148";"hydrogéologie";"-";"+";"-";"-";"-";"Ce pays a une hydrogéologie intéressante";"~";"~";"~";"~";"~";"~";"~";"~"
"149";"hydrographie";"+";"+";"-";"-";"-";"La France a une hydrographie (*E+équilibrée)";"~";"~";"~";"~";"~";"~";"~";"~"
"150";"hyperonyme";"+";"+";"+";"-";"-";"Ce terme a un hyperonyme";"~";"~";"~";"~";"~";"~";"~";"~"
"151";"hypocentre";"+";"-";"-";"-";"-";"Le séisme a un hypocentre";"~";"~";"~";"~";"~";"~";"~";"~"
"152";"hyponyme";"+";"+";"+";"-";"-";"Ce terme a un hyponyme";"~";"~";"~";"~";"~";"~";"~";"~"
"153";"iconographie";"+";"+";"-";"-";"-";"La vie du Christ a une iconographie";"~";"~";"~";"~";"~";"~";"~";"~"
"154";"image";"+";"+";"-";"-";"-";"Cet objet a une image (E+optique)";"~";"~";"~";"~";"~";"~";"~";"~"
"155";"inclinaison";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"156";"indice";"+";"+";"+";"-";"-";"Ce (nombre+nom) a un indice";"~";"~";"~";"~";"~";"~";"~";"~"
"157";"instance";"+";"+";"+";"-";"-";"Ce tribunal a (une instance+plusieurs instances)";"~";"~";"~";"~";"~";"~";"~";"~"
"158";"instigateur";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"159";"intension";"+";"+";"-";"-";"-";"Ce concept a une intension";"~";"~";"~";"~";"~";"~";"~";"~"
"160";"inverse";"+";"-";"-";"-";"+";"Ce nombre a un inverse";"~";"~";"~";"~";"~";"~";"~";"~"
"161";"label";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"162";"latitude";"-";"+";"-";"+";"-";"~";"Ce pays a une certaine latitude";"~";"~";"~";"~";"~";"~";"~"
"163";"légende";"+";"+";"+";"-";"-";"(Max+Cette ville) a une légende";"~";"~";"~";"~";"~";"~";"~";"~"
"164";"lendemain";"+";"+";"+";"-";"-";"La fête a eu un lendemain";"~";"~";"~";"~";"~";"~";"~";"~"
"165";"loi";"+";"+";"+";"-";"-";"Ce mouvement giratoire a une loi";"~";"~";"~";"~";"~";"~";"~";"~"
"166";"longitude";"-";"+";"-";"+";"-";"Ce point a une longitude";"~";"~";"~";"~";"~";"~";"~";"~"
"167";"magnitude";"-";"+";"-";"+";"-";"~";"~";"~";"Le séisme a une magnitude (*E+de 2,6 degrés)";"~";"~";"~";"~";"~"
"168";"martyr";"+";"+";"+";"-";"-";"Ce mouvement a un martyr";"~";"~";"~";"~";"~";"~";"~";"~"
"169";"mathématique";"+";"+";"-";"-";"-";"(Ce phénomène a+Les élections ont) une mathématique";"~";"~";"~";"~";"~";"~";"~";"~"
"170";"mesure";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"171";"modalité";"+";"+";"+";"-";"-";"~";"~";"L'application de la loi a des modalités";"~";"~";"~";"~";"~";"~"
"172";"modèle";"+";"+";"+";"-";"-";"Cette politique a un modèle";"~";"~";"~";"~";"~";"~";"~";"~"
"173";"morphogénèse";"+";"+";"-";"-";"-";"Un organisme a une morphogénèse";"~";"~";"~";"~";"~";"~";"~";"~"
"174";"morphogénie";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"175";"morphologie";"+";"+";"-";"-";"-";"Cette langue a une morphologie";"~";"~";"~";"~";"~";"~";"~";"~"
"176";"moteur";"+";"+";"+";"-";"-";"L'économie a un moteur";"~";"~";"~";"~";"~";"~";"~";"~"
"177";"moyenne";"+";"+";"-";"+";"-";"Ces nombres ont une moyenne";"~";"~";"~";"~";"~";"~";"~";"~"
"178";"multiple";"+";"+";"+";"-";"-";"Ce nombre a un multiple";"~";"~";"~";"~";"~";"~";"~";"~"
"179";"mutation";"+";"+";"+";"-";"-";"(Cette technique+Cet organisme) (a+connaît) une mutation";"~";"~";"~";"~";"~";"~";"~";"~"
"180";"norme";"+";"+";"+";"-";"-";"Cette activité a une norme";"~";"~";"~";"~";"~";"~";"~";"~"
"181";"notation";"+";"+";"+";"-";"-";"La musique a une notation";"~";"~";"~";"~";"~";"~";"~";"~"
"182";"objet";"+";"+";"+";"-";"-";"Cette science a un objet";"~";"~";"~";"~";"~";"~";"~";"~"
"183";"opposé";"+";"+";"+";"-";"+";"Ce nombre a un opposé";"~";"~";"~";"~";"~";"~";"~";"~"
"184";"organe";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"185";"organigramme";"+";"+";"+";"-";"-";"Le gouvernement a un organigramme";"~";"~";"~";"~";"~";"~";"~";"~"
"186";"origine";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"187";"orthocentre";"+";"+";"-";"-";"-";"Cette figure a un orthocentre";"~";"~";"~";"~";"~";"~";"~";"~"
"188";"ouverture";"-";"+";"-";"+";"-";"Cette porte a une (*E+bonne+facile) ouverture";"~";"~";"~";"~";"~";"~";"~";"~"
"189";"paradigme";"+";"+";"+";"-";"-";"Ce tube a un paradigme";"~";"~";"~";"~";"~";"~";"~";"~"
"190";"parages";"-";"-";"+";"-";"-";"~";"~";"Cette maison a des parages (*E+agréables)";"~";"~";"~";"~";"~";"~"
"191";"passé";"+";"+";"-";"-";"-";"Cette ville a un passé";"~";"~";"~";"~";"~";"~";"~";"~"
"192";"passif";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"193";"pattern";"+";"+";"+";"-";"-";"Ce phénomène a un pattern";"~";"~";"~";"~";"~";"~";"~";"~"
"194";"phonétique";"+";"+";"-";"-";"-";"(Toute+Cette langue+Ce mot) a une phonétique";"~";"~";"~";"~";"~";"~";"~";"~"
"195";"phonologie";"+";"+";"-";"-";"-";"Cette langue a une phonologie simple";"~";"~";"~";"~";"~";"~";"~";"~"
"196";"physiologie";"+";"+";"-";"-";"-";"Le corps a une physiologie";"~";"~";"~";"~";"~";"~";"~";"~"
"197";"physique";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"198";"place";"+";"+";"+";"-";"-";"Cet objet a une place (E+dans la maison)";"~";"~";"~";"~";"~";"~";"~";"~"
"199";"plafond";"+";"+";"-";"+";"-";"Les dépends ont un plafond";"~";"~";"~";"~";"~";"~";"~";"~"
"200";"plan";"+";"+";"+";"-";"-";"Ce tableau a deux plans";"~";"~";"~";"~";"~";"~";"~";"~"
"201";"polarité";"+";"+";"-";"-";"-";"Cet aimant a une polarité";"~";"~";"~";"~";"~";"~";"~";"~"
"202";"polysémie";"-";"+";"-";"-";"-";"Ce mot a une polysémie remarquable";"~";"~";"~";"~";"~";"~";"~";"~"
"203";"position";"-";"+";"+";"-";"-";"~";"Cet objet a une certaine position";"~";"~";"~";"~";"~";"~";"~"
"204";"posologie";"-";"+";"-";"-";"-";"Ce médicament a une posologie";"~";"~";"~";"~";"~";"~";"~";"~"
"205";"potentiel";"-";"+";"-";"-";"-";"Ce pays a un grand potentiel (E+économique)";"~";"~";"~";"~";"~";"~";"~";"~"
"206";"potentiel";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"207";"pourquoi";"+";"+";"+";"-";"-";"Cette situation a un pourquoi";"~";"~";"~";"~";"~";"~";"~";"GN=:[Le pourquoi de cette situation]"
"208";"pourtour";"+";"+";"-";"+";"-";"Ce pavillon a un pourtour";"~";"~";"~";"~";"~";"~";"~";"~"
"209";"prégnance";"+";"+";"-";"-";"-";"Ce trait psychologique a une prégnance";"~";"~";"~";"~";"~";"~";"~";"~"
"210";"préhension";"-";"+";"-";"-";"-";"L'homme a une préhension naturelle";"~";"~";"~";"~";"~";"~";"~";"~"
"211";"préhistoire";"+";"+";"-";"-";"-";"Cette nuit a une préhistoire";"~";"~";"~";"~";"~";"~";"~";"~"
"212";"prématurité";"-";"+";"+";"+";"-";"Ce bébé a un prématurité certaine";"~";"~";"~";"~";"~";"~";"~";"~"
