"<ID>";"<ENT>N";"faire = commettre";"faire = effectuer";"faire = pratiquer";"faire = procéder à";"faire = réaliser";"Det =: un";"Det =: des";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N1 =: Nhum";"N1 =: N-hum";"GN =: le N de N0 Prép N1";"subir = endurer";"subir = éprouver";"subir = essuyer";"subir = être en butte à";"subir = (être+faire) l'objet de"
"22";"analyse statistique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"23";"analyse structurale";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"24";"analyse textuelle";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"25";"analyse thermique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"26";"analyse transformationnelle";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"27";"analyse vectorielle";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"28";"anesthésie algique";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"29";"anesthésie auditive";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"30";"anesthésie complète";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"31";"anesthésie générale";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"32";"attaque frontale";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+"
"33";"attaque verbale";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+"
"34";"bilan de santé";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"35";"charge de cavalerie";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+"
"36";"classification topologique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"37";"contre-expertise";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"38";"contre-façon";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"39";"contre-offensive";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+"
"40";"contrôle de routine";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+"
"41";"coup du père François";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"42";"croc-en-jambe";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+"
"43";"croche-pied";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+"
"44";"diagnostic médical";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+"
"45";"échange standard";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"46";"enquête d'utilité publique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"47";"enregistrement numérique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"48";"étude critique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"49";"étude démographique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"50";"étude littéraire";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"51";"étude psychanalytique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"52";"examen clinique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"53";"examen graphologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"54";"examen médical";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"55";"examen physiologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"56";"examen sérologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"57";"examen spectroscopique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"58";"exégèse littéraire";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"59";"expérimentation clinique";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+"
"60";"expérimentation physique";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+"
"61";"expertise clinique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+"
"62";"expertise financière";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"63";"expertise fiscale";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"64";"expertise pharmacologique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"65";"exploration radiologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"66";"extorsion de fonds";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+"
"67";"grand nettoyage";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"68";"greffe cardiaque";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+"
"69";"greffe de Npc";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+"
"70";"greffe d'organe";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+"
"71";"intervention chirurgicale";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+"
"72";"lavage de cerveau";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+"
"73";"lavage de tête";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"74";"massage cardiaque";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"75";"massage facial";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"76";"mise au point";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"77";"numérotation globulaire";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"78";"opération chirurgicale";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+"
"79";"perfusion sanguine";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"80";"point de suture ";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+  "
"81";"prise de sang";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"82";"reconstitution historique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"83";"réformes de structure";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"84";"sale coup";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+"
"85";"tir de barrage";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+"
"86";"traduction automatique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"87";"traitement de choc";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"88";"transcription phonétique";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"89";"transfusion sanguine";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"90";"transplantation cardiaque";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+"
"91";"transplantation de Npc";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+"

