"<ID>";"N0 =: la manière de V-inf W";"N0 =: Qu P";"N0 =: le fait Qu P";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"Det =: du";"N0 avoir Det N pour N1";"N1 avoir Det N Prép N0";"N0 être Det N pour N1";"N1 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Base3"
"19";"+";"+";"+";"-";"cartésien";"cartésianisme";"-";"-";"-";"-";"-";"~";"~";"~"
"20";"-";"+";"+";"-";"certain";"certitude";"-";"+";"-";"+";"+";"~";"~";"~"
"21";"+";"+";"+";"-";"circulaire";"circularité";"-";"-";"-";"-";"-";"Ce raisonnement a une certaine circularité";"Ce raisonnement est d'une certaine circularité";"~"
"22";"+";"-";"+";"+";"clandestin";"clandestinité";"-";"-";"-";"-";"-";"~";"Cette manière de faire est d'une certaine clandestinité";"~"
"23";"+";"+";"+";"-";"clair";"clarté";"-";"-";"-";"-";"-";"~";"~";"~"
"24";"+";"+";"+";"+";"cohérent";"cohérence";"+";"-";"-";"-";"-";"~";"~";"~"
"25";"-";"+";"+";"+";"commode";"commodité";"+";"+";"-";"+";"+";"~";"(Ce chemin+Ce procédé) est d'une certaine commodité";"~"
"26";"+";"+";"+";"+";"compétitif";"compétitivité";"+";"-";"-";"-";"-";"~";"~";"~"
"27";"+";"-";"-";"+";"complaisant";"complaisance";"+";"-";"-";"-";"-";"~";"~";"~"
"28";"+";"+";"+";"+";"complexe";"complexité";"+";"-";"-";"-";"-";"(Le raisonnement a une certaine complexité+Luc a une certaine complexité de caractère)";"Le raisonnement est d'une certaine complexité";"~"
"29";"+";"-";"-";"+";"confortable";"confort";"+";"+";"-";"+";"+";"~";"~";"~"
"30";"+";"+";"+";"-";"constitutionnel";"constitutionnalité";"-";"-";"-";"-";"-";"~";"Ce (texte+vote) est d'une constitutionnalité (E+douteuse)";"~"
"31";"-";"+";"+";"+";"coûteux";"coût";"-";"-";"-";"-";"-";"~";"~";"~"
"32";"+";"+";"+";"-";"coutumier";"coutume";"-";"-";"-";"+";"+";"~";"~";"~"
"33";"+";"-";"-";"+";"délicat";"délicatesse";"+";"-";"-";"-";"-";"~";"~";"~"
"34";"-";"+";"+";"-";"difficile";"difficulté";"+";"+";"+";"-";"-";"Faire ceci (a+présente) une certaine difficulté pour Max";"~";"~"
"35";"+";"+";"+";"+";"disproportionné";"disproportion";"-";"-";"-";"-";"-";"~";"~";"~"
"36";"+";"-";"+";"-";"éloquent";"éloquence";"-";"-";"-";"-";"-";"~";"~";"~"
"37";"-";"+";"+";"-";"évident";"évidence";"-";"+";"-";"+";"-";"Ce phénomène a une certaine évidence";"~";"~"
"38";"-";"+";"+";"-";"exact";"exactitude";"-";"-";"-";"-";"-";"~";"~";"~"
"39";"-";"+";"-";"-";"facile";"facilité";"-";"+";"+";"-";"-";"Ce travail a une certaine facilité";"Ce travail est d'une certaine facilité";"~"
"40";"+";"+";"+";"+";"familier";"familiarité";"-";"+";"+";"-";"-";"Max a une certaine familiarité avec Jean";"~";"~"
"41";"-";"+";"+";"-";"faux";"fausseté";"-";"-";"-";"-";"-";"Cette accusation a une fausseté certaine";"~";"~"
"42";"+";"-";"+";"+";"flou";"flou";"+";"-";"-";"-";"-";"~";"~";"~"
"43";"+";"-";"-";"-";"fugace";"fugacité";"+";"-";"-";"-";"-";"~";"~";"~"
"44";"+";"-";"-";"-";"furtif";"furtivité";"+";"-";"-";"-";"-";"~";"~";"~"
"45";"+";"-";"+";"+";"gai";"gaieté";"+";"-";"-";"-";"-";"~";"~";"~"
"46";"+";"+";"+";"-";"général";"généralité";"-";"-";"-";"-";"-";"~";"~";"~"
"47";"+";"+";"+";"-";"global";"globalité";"-";"-";"-";"-";"-";"~";"~";"~"
"48";"+";"-";"-";"+";"gracieux";"grâce";"+";"-";"-";"-";"-";"~";"~";"~"
"49";"-";"-";"+";"+";"grammatical";"grammaticalité";"-";"-";"-";"-";"-";"~";"~";"~"
"50";"-";"+";"+";"-";"grave";"gravité";"+";"-";"-";"-";"-";"~";"~";"~"
"51";"-";"+";"+";"-";"grave";"gravité";"-";"+";"-";"-";"-";"~";"~";"~"
"52";"+";"+";"+";"-";"habituel";"habitude";"+";"-";"-";"+";"+";"~";"~";"~"
"53";"+";"-";"-";"+";"harmonieux";"harmonie";"+";"-";"-";"-";"-";"~";"~";"~"
"54";"+";"+";"+";"-";"illégitime";"illégitimité";"-";"-";"-";"-";"-";"~";"~";"~"
"55";"-";"+";"-";"-";"imminent";"imminence";"-";"-";"-";"-";"-";"~";"~";"~"
"56";"+";"+";"+";"+";"impersonnel";"impersonnalité";"-";"-";"-";"-";"-";"~";"~";"~"
"57";"-";"+";"+";"-";"important";"importance";"+";"+";"-";"-";"-";"~";"~";"~"
"58";"+";"+";"+";"-";"impropre";"impropriété";"-";"+";"-";"-";"-";"~";"~";"~"
"59";"-";"+";"+";"-";"incertain";"incertitude";"-";"+";"-";"+";"+";"~";"~";"~"
"60";"-";"+";"-";"+";"incoercible";"incoercibilité";"-";"-";"-";"-";"-";"~";"~";"~"
"61";"-";"+";"+";"+";"incommode";"incommodité";"-";"+";"-";"+";"+";"~";"~";"~"
"62";"+";"+";"+";"+";"indifférent";"indifférence";"-";"+";"+";"-";"-";"~";"~";"~"
"63";"+";"+";"+";"-";"indifférent";"indifférence";"-";"+";"-";"-";"-";"~";"~";"~"
"64";"-";"+";"+";"-";"indubitable";"indubitabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"65";"-";"+";"+";"-";"inexact";"inexactitude";"-";"-";"-";"-";"-";"~";"~";"~"
"66";"+";"-";"-";"-";"inintelligent";"inintelligence";"-";"-";"-";"-";"-";"~";"~";"~"
"67";"-";"-";"+";"-";"inné";"innéité";"-";"-";"-";"-";"-";"~";"~";"~"
"68";"-";"+";"+";"+";"inopportun";"inopportunité";"-";"+";"-";"-";"-";"~";"~";"~"
"69";"+";"-";"-";"-";"insane";"insanité";"-";"-";"-";"-";"-";"~";"~";"~"
"70";"+";"+";"+";"-";"intangible";"intangibilité";"-";"-";"-";"-";"-";"~";"~";"~"
"71";"+";"-";"+";"-";"intelligible";"intelligibilité";"-";"+";"-";"-";"-";"~";"~";"~"
"72";"+";"-";"-";"+";"intense";"intensité";"+";"-";"-";"-";"-";"~";"~";"~"
"73";"-";"+";"-";"+";"inutile";"inutilité";"-";"+";"-";"-";"-";"~";"~";"~"
"74";"+";"-";"+";"+";"invariable";"invariabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"75";"-";"+";"-";"-";"invraisemblable";"invraisemblance";"-";"-";"-";"-";"-";"~";"~";"~"
"76";"-";"+";"+";"-";"irréfutable";"irréfutabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"77";"-";"-";"+";"-";"irréversible";"irréversibilité";"-";"-";"-";"-";"-";"~";"~";"~"
"78";"-";"+";"+";"-";"irrévocable";"irrévocabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"79";"+";"-";"-";"+";"joli";"joliesse";"+";"-";"-";"-";"-";"~";"~";"~"
"80";"+";"+";"+";"-";"juste";"justesse";"+";"-";"-";"-";"-";"~";"~";"~"
"81";"+";"+";"+";"-";"laid";"laideur";"+";"-";"-";"-";"-";"~";"~";"~"
"82";"+";"-";"-";"+";"laid";"laideur";"+";"-";"-";"-";"-";"~";"~";"~"
"83";"+";"+";"+";"-";"légal";"légalité";"-";"-";"-";"-";"-";"~";"~";"~"
"84";"+";"+";"+";"-";"léger";"légèreté";"+";"-";"-";"-";"-";"~";"~";"~"
"85";"+";"-";"-";"+";"léger";"légèreté";"+";"-";"-";"-";"-";"~";"~";"~"
"86";"+";"+";"+";"-";"légitime";"légitimité";"-";"-";"-";"-";"-";"~";"~";"~"
"87";"-";"+";"+";"-";"légitime";"légitimité";"-";"-";"-";"-";"-";"~";"~";"~"
"88";"+";"-";"-";"-";"libre";"liberté";"-";"-";"-";"-";"-";"~";"~";"~"
"89";"+";"-";"-";"-";"libre";"liberté";"-";"-";"-";"-";"-";"~";"~";"~"
"90";"+";"-";"+";"+";"lourd";"lourdeur";"+";"-";"-";"-";"-";"~";"~";"~"
"91";"+";"+";"+";"-";"lyrique";"lyrisme";"+";"-";"-";"-";"-";"~";"~";"~"
"92";"+";"-";"+";"+";"majestueux";"majesté";"+";"-";"-";"-";"-";"~";"~";"~"
"93";"+";"-";"-";"+";"mécanique";"mécanisme";"-";"-";"-";"-";"-";"~";"~";"~"
"94";"+";"-";"-";"+";"mélancolique";"mélancolie";"-";"-";"-";"-";"-";"~";"~";"~"
"95";"+";"+";"+";"+";"moderne";"modernisme";"-";"-";"-";"-";"-";"~";"~";"~"
"96";"+";"+";"+";"-";"moderne";"modernité";"-";"-";"-";"-";"-";"~";"~";"~"
"97";"+";"-";"-";"-";"mondain";"mondanité";"-";"-";"-";"-";"-";"~";"~";"~"
"98";"+";"+";"+";"+";"monotone";"monotonie";"+";"-";"-";"-";"-";"~";"~";"~"
"99";"+";"-";"-";"+";"morose";"morosité";"+";"-";"-";"-";"-";"~";"~";"~"
"100";"+";"-";"-";"+";"musical";"musicalité";"-";"-";"-";"-";"-";"~";"~";"~"
"101";"+";"-";"+";"+";"mystérieux";"mystère";"+";"-";"-";"-";"-";"~";"~";"~"
"102";"-";"+";"+";"-";"nécessaire";"nécessité";"-";"+";"-";"+";"+";"~";"~";"~"
"103";"+";"-";"+";"+";"net";"netteté";"+";"-";"-";"-";"-";"~";"~";"~"
"104";"-";"+";"+";"+";"nocif";"nocivité";"-";"+";"-";"-";"-";"~";"~";"~"
"105";"+";"+";"+";"+";"normal";"normalité";"-";"-";"-";"-";"-";"~";"~";"~"
"106";"+";"+";"+";"+";"notoire";"notoriété";"+";"-";"-";"-";"-";"~";"~";"~"
"107";"+";"-";"+";"+";"nouveau";"nouveauté";"+";"-";"-";"-";"-";"~";"~";"~"
"108";"-";"+";"-";"-";"obligatoire";"obligation";"-";"+";"-";"+";"+";"~";"~";"~"
"109";"+";"+";"+";"-";"opportun";"opportunité";"-";"+";"-";"-";"-";"~";"~";"~"
"110";"+";"+";"+";"-";"particulier";"particularité";"-";"-";"-";"+";"+";"~";"~";"~"
"111";"+";"-";"+";"+";"pérenne";"pérennité";"-";"-";"-";"-";"-";"~";"~";"~"
"112";"+";"-";"+";"+";"permanent";"permanence";"-";"-";"-";"-";"-";"~";"~";"~"
"113";"-";"-";"+";"-";"perpétuel";"perpétuité";"-";"-";"-";"-";"-";"~";"~";"~"
"114";"+";"+";"+";"-";"pertinent";"pertinence";"+";"-";"-";"-";"-";"~";"~";"~"
"115";"+";"-";"+";"+";"pittoresque";"pittoresque";"+";"-";"-";"-";"-";"~";"~";"~"
"116";"+";"-";"-";"-";"platonique";"platonisme";"-";"-";"-";"-";"-";"~";"~";"~"
"117";"-";"+";"+";"-";"plausible";"plausibilité";"-";"-";"-";"-";"-";"~";"~";"~"
"118";"+";"+";"+";"+";"poétique";"poésie";"+";"-";"-";"-";"-";"~";"~";"~"
"119";"+";"+";"+";"-";"positiviste";"positivisme";"-";"-";"-";"-";"-";"~";"~";"~"
"120";"-";"+";"+";"-";"potentiel";"potentialité";"-";"-";"-";"-";"-";"~";"~";"~"
"121";"+";"-";"+";"-";"précaire";"précarité";"-";"-";"-";"-";"-";"~";"~";"~"
"122";"+";"-";"-";"+";"précis";"précision";"+";"-";"-";"-";"-";"~";"~";"~"
"123";"-";"-";"+";"-";"prépondérant";"prépondérance";"-";"-";"-";"-";"-";"~";"~";"~"
"124";"-";"+";"+";"-";"prioritaire";"priorité";"-";"-";"-";"-";"-";"~";"~";"~"
"125";"-";"+";"-";"-";"probable";"probabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"126";"+";"+";"+";"-";"propre";"propriété";"-";"-";"-";"+";"+";"~";"~";"~"
"127";"+";"+";"+";"-";"rationnel";"rationalité";"-";"-";"-";"-";"-";"~";"~";"~"
"128";"-";"+";"+";"+";"réel";"réalité";"-";"-";"-";"-";"-";"~";"~";"~"
"129";"+";"-";"-";"+";"redondant";"redondance";"-";"-";"-";"-";"-";"~";"~";"~"
"130";"+";"-";"-";"+";"régulier";"régularité";"-";"-";"-";"-";"-";"~";"~";"~"
"131";"-";"+";"+";"-";"relatif";"relativité";"-";"-";"-";"-";"-";"~";"~";"~"
"132";"-";"+";"+";"-";"rentable";"rentabilité";"-";"-";"-";"-";"-";"~";"~";"~"
"133";"+";"+";"+";"+";"représentatif";"représentativité";"-";"-";"-";"-";"-";"~";"~";"~"
"134";"-";"+";"+";"+";"reproductible";"reproductibilité";"-";"-";"-";"-";"-";"~";"~";"~"
"135";"+";"-";"-";"+";"sévère";"sévérité";"-";"-";"-";"-";"-";"~";"~";"~"
"136";"-";"+";"-";"-";"simple";"simplicité";"-";"+";"+";"-";"-";"~";"~";"~"
"137";"+";"-";"-";"+";"sobre";"sobriété";"+";"-";"-";"-";"-";"~";"~";"~"
"138";"+";"+";"+";"-";"spécifique";"spécificité";"-";"-";"-";"-";"-";"~";"~";"~"
"139";"+";"+";"+";"-";"spécieux";"spéciosité";"-";"-";"-";"-";"-";"~";"~";"~"
"140";"+";"+";"-";"+";"splendide";"splendeur";"+";"-";"-";"-";"-";"~";"~";"~"
"141";"+";"+";"+";"+";"sympathique";"sympathie";"+";"-";"+";"-";"-";"~";"~";"~"
"142";"+";"+";"-";"-";"technique";"technicité";"-";"-";"-";"-";"-";"~";"~";"~"
"143";"+";"-";"-";"-";"tonique";"tonicité";"+";"-";"-";"-";"-";"~";"~";"~"
"144";"+";"-";"-";"-";"tortueux";"tortuosité";"-";"-";"-";"-";"-";"~";"~";"~"
"145";"-";"+";"+";"-";"triste";"tristesse";"-";"-";"-";"+";"+";"~";"~";"~"
"146";"+";"-";"-";"+";"triste";"tristesse";"+";"-";"-";"-";"-";"~";"~";"~"
"147";"+";"+";"+";"-";"trivial";"trivialité";"-";"-";"-";"-";"-";"~";"~";"~"
"148";"+";"-";"-";"-";"unanime";"unanimité";"-";"-";"-";"-";"-";"~";"~";"~"
"149";"+";"+";"-";"-";"universel";"universalité";"+";"-";"-";"-";"-";"~";"~";"~"
"150";"-";"+";"-";"-";"urgent";"urgence";"-";"-";"-";"-";"-";"~";"~";"~"
"151";"-";"+";"+";"+";"utile";"utilité";"+";"+";"-";"-";"-";"~";"~";"~"
"152";"-";"+";"+";"-";"vain";"vanité";"-";"-";"-";"-";"-";"~";"~";"~"
"153";"-";"+";"-";"-";"vrai";"vérité";"-";"-";"-";"-";"-";"~";"~";"~"
"154";"-";"+";"-";"-";"virtuel";"virtualité";"-";"-";"-";"-";"-";"~";"~";"~"
"155";"+";"-";"-";"-";"vif";"vivacité";"+";"-";"-";"-";"-";"~";"~";"~"
"156";"+";"+";"+";"-";"voluptueux";"volupté";"+";"+";"+";"-";"-";"~";"~";"~"
"157";"-";"+";"-";"-";"vraisemblable";"vraisemblance";"-";"-";"-";"-";"-";"~";"~";"~"

